,backers_count,category,pledged,state,blurb_length,goal_in_usd,campaign_duration,sub_category
5022,331,publishing,9603.0,0,20.0,22322.25,31,art books
5023,53,music,3353.0,1,16.0,2500.0,60,world music
5024,4,music,818.8,0,21.0,911.26,8,world music
5025,7,photography,111.0,0,20.0,2500.0,28,people
5026,6,photography,180.0,0,25.0,6500.0,35,photobooks
5027,0,music,0.0,0,16.0,15000.0,30,pop
5028,1,photography,1.0,0,19.0,2000.0,60,nature
5029,7,photography,37.0,0,12.0,196.43,35,nature
5030,23,music,1125.0,1,20.0,1000.0,30,pop
5031,77,music,10075.0,1,11.0,10000.0,58,pop
5032,76,music,4177.0,1,16.0,3500.0,26,pop
5033,34,photography,2378.0,1,17.0,1500.0,30,photobooks
5034,198,publishing,8399.0,1,19.0,2500.0,14,art books
5035,1,publishing,35.0,0,20.0,4000.0,42,anthologies
5036,11,publishing,300.0,0,19.0,750.0,30,art books
5037,5,music,159.0,1,9.0,121.59,35,world music
5038,231,"publishing"",""position"":13,""color"":14867664,""urls"":{""web"":{""discover"":""http:",13847.0,1,16.0,6662.89,36,
5039,48,music,26046.0,1,21.0,26000.0,32,pop
5040,40,photography,6909.29,1,5.0,5193.08,30,places
5041,48,publishing,1389.0,1,14.0,1655.57,21,zines
5042,18,publishing,704.0,1,19.0,473.52,30,nonfiction
5043,0,photography,0.0,0,16.0,3366.55,30,photobooks
5044,50,"photography"",""position"":12,""color"":58341,""urls"":{""web"":{""discover"":""http:",1760.0,1,19.0,1592.76,14,
5045,44,music,3023.0,1,20.0,3000.0,45,r&b
5046,513,photography,61138.0,1,14.0,35000.0,30,photobooks
5047,54,music,21947.0,1,23.0,3037.18,30,metal
5048,3,photography,36.0,0,22.0,396.0,30,places
5049,206,photography,13591.0,1,26.0,10000.0,30,photobooks
5050,35,music,1150.0,1,24.0,750.0,23,rock
5051,252,publishing,4463.0,1,12.0,932.83,30,zines
5052,2,music,17.0,0,9.0,1500.0,30,world music
5053,10,music,2005.0,1,22.0,2000.0,30,rock
5054,1,publishing,1.0,0,18.0,76645.62,30,academic
5055,19,music,925.0,1,19.0,925.0,30,pop
5056,205,music,8058.55,1,18.0,7000.0,32,rock
5057,337,music,11891.59,1,9.0,10000.0,45,pop
5058,39,music,4025.0,1,20.0,4000.0,31,pop
5059,322,publishing,11229.0,1,22.0,6000.0,30,anthologies
5060,0,music,0.0,0,23.0,13848.56,30,punk
5061,19,publishing,3000.29,1,8.0,2291.36,60,children's books
5062,0,photography,0.0,0,22.0,2200.0,30,photobooks
5063,5,music,120.0,0,17.0,1200.0,60,punk
5064,41,photography,3480.0,0,13.0,15000.0,60,people
5065,27,music,1352.0,1,23.0,1350.0,30,rock
5066,28,music,1660.0,1,25.0,1000.0,46,rock
5067,12,music,635.0,0,23.0,2500.0,30,r&b
5068,0,music,0.0,0,17.0,50000.0,48,metal
5069,157,music,9744.0,1,20.0,5000.0,15,rock
5070,228,publishing,11537.0,1,9.0,6916.58,25,fiction
5071,63,publishing,1265.0,1,22.0,616.75,30,anthologies
5072,22,photography,1300.0,0,18.0,14918.49,30,people
5073,17,"photography"",""position"":12,""color"":58341,""urls"":{""web"":{""discover"":""http:",950.0,1,21.0,800.0,30,
5074,1,photography,21000.0,0,21.0,2112.94,29,photobooks
5075,85,publishing,4359.0,1,22.0,2400.0,37,children's books
5076,109,publishing,3077.37,1,20.0,800.0,30,anthologies
5077,21,publishing,660.0,1,20.0,500.0,46,anthologies
5078,174,music,9977.0,1,14.0,9932.0,30,world music
5079,1,photography,15.0,0,21.0,500.0,30,nature
5080,20,music,390.0,0,13.0,7500.0,24,r&b
5081,17,photography,1997.0,1,22.0,1850.0,30,photobooks
5082,935,photography,78148.0,1,21.0,65290.0,60,animals
5083,34,music,2620.69,1,21.0,2500.0,60,pop
5084,2,photography,51.0,0,14.0,2000.0,9,fine art
5085,30,music,23428.0,0,23.0,9910.49,40,pop
5086,336,publishing,94128.71,1,14.0,8746.66,38,anthologies
5087,26,music,501.0,1,2.0,647.89,19,rock
5088,12,publishing,471.0,0,17.0,4062.1,21,academic
5089,84,music,4444.0,1,6.0,5383.33,60,rock
5090,30,music,2411.0,1,24.0,2000.0,21,pop
5091,1,photography,1.0,0,21.0,700.0,30,fine art
5092,853,publishing,46473.0,1,20.0,30000.0,31,academic
5093,5,publishing,125.0,0,24.0,12000.0,30,academic
5094,182,music,14000.0,1,22.0,12000.0,30,rock
5095,140,music,10242.0,1,26.0,6000.0,60,pop
5096,10,photography,320.0,1,18.0,300.0,18,photobooks
5097,40,photography,2500.0,1,18.0,2500.0,30,fine art
5098,50,publishing,5050.0,1,3.0,5000.0,30,fiction
5099,612,music,80870.0,1,23.0,42500.0,40,rock
5100,90,music,3517.01,1,30.0,3000.0,22,pop
5101,10,"photography"",""position"":12,""color"":58341,""urls"":{""web"":{""discover"":""http:",1137.0,1,13.0,1000.0,40,
